ADK,ANC,1190
ADQ,ANC,252
AKN,ANC,288
ALW,SEA,212
ANC,ADK,1190
ANC,BET,398
ANC,ORD,2841
ANC,CDV,159
ANC,DEN,2401
ANC,DLG,328
ANC,DUT,790
ANC,FAI,261
ANC,HNL,2782
ANC,JNU,569
ANC,OGG,2803
ANC,AKN,288
ANC,ADQ,252
ANC,OTZ,548
ANC,LAX,2345
ANC,OME,538
ANC,PDX,1540
ANC,SCC,626
ANC,SEA,1446
ATL,SEA,2180
AUS,SEA,1771
BET,ANC,398
BIL,PDX,678
BIL,SEA,663
BLI,HNL,2718
BLI,LAS,956
BLI,PDX,222
BLI,SEA,94
BOI,LWS,198
BOI,PDX,344
BOI,SMF,438
BOI,SJC,523
BOI,SEA,398
BOS,PDX,2533
BOS,SEA,2491
BRW,ANC,724
BRW,FAI,502
BUR,SEA,939
BZN,PDX,552
BZN,SEA,541
CDV,ANC,159
CDV,YAK,212
DCA,LAX,2308
DCA,PDX,2347
DCA,SEA,2325
DEN,ANC,2401
DEN,SEA,1021
DFW,SEA,1660
DLG,ANC,328
EAT,SEA,98
EUG,PDX,106
EUG,SEA,234
EWR,SEA,2397
FAI,ANC,261
FAI,BRW,502
FAI,SCC,373
FAI,SEA,1532
FAT,PDX,628
FAT,SAN,314
FAT,SEA,750
FCA,SEA,378
FLL,SEA,2717
GDL,LAX,1310
GDL,SMF,1663
GDL,SJC,1614
GEG,PDX,278
GEG,SEA,223
GST,JNU,41
GTF,HLN,67
GTF,SEA,511
HLN,GTF,67
HLN,SEA,490
HNL,ANC,2782
HNL,BLI,2718
HNL,OAK,2409
HNL,PDX,2605
HNL,SAN,2613
HNL,SJC,2417
HNL,SEA,2679
IAH,SEA,1874
JNU,ANC,569
JNU,GST,41
JNU,KTN,237
JNU,PSG,123
JNU,SEA,909
JNU,SIT,94
JNU,YAK,198
KOA,OAK,2380
KOA,PDX,2611
KOA,SJC,2386
KOA,SEA,2692
KTN,JNU,237
KTN,SEA,676
KTN,SIT,183
KTN,WRG,84
LAP,LAX,837
LAS,BLI,956
LAS,PDX,764
LAS,SEA,868
LAX,ANC,2345
LAX,GDL,1310
LAX,ZIH,1536
LAX,LAP,837
LAX,LTO,694
LAX,MMH,256
LAX,ZLO,1342
LAX,MZT,1048
LAX,MFR,631
LAX,MEX,1555
LAX,PDX,835
LAX,PVR,1219
LAX,SJC,308
LAX,SJD,913
LAX,STS,400
LAX,SEA,956
LAX,SUN,697
LAX,YVR,1082
LAX,DCA,2308
LIH,OAK,2458
LIH,PDX,2633
LIH,SJC,2467
LIH,SEA,2703
LTO,LAX,694
LWS,BOI,198
LWS,PUW,26
LWS,SEA,261
MCI,SEA,1487
MCO,SAN,2146
MCO,SEA,2552
MEX,LAX,1555
MFR,LAX,631
MFR,PDX,223
MFR,SEA,352
MIA,SEA,2724
MMH,LAX,256
MRY,SAN,376
MSO,PDX,417
MSO,SEA,388
MSP,SEA,1396
MZT,LAX,1048
OAK,HNL,2409
OAK,OGG,2350
OAK,LIH,2458
OAK,KOA,2380
OAK,PDX,544
OAK,SEA,673
OGG,ANC,2803
OGG,OAK,2350
OGG,PDX,2564
OGG,SMF,2405
OGG,SAN,2540
OGG,SJC,2356
OGG,SEA,2643
OME,ANC,538
OME,OTZ,183
ONT,SEA,958
ORD,ANC,2841
ORD,PDX,1736
ORD,SEA,1718
OTZ,ANC,548
OTZ,OME,183
PDX,ANC,1540
PDX,BLI,222
PDX,BIL,678
PDX,BOI,344
PDX,BOS,2533
PDX,BZN,552
PDX,ORD,1736
PDX,EUG,106
PDX,FAT,628
PDX,HNL,2605
PDX,OGG,2564
PDX,LIH,2633
PDX,KOA,2611
PDX,LAS,764
PDX,LAX,835
PDX,MFR,223
PDX,MSO,417
PDX,OAK,544
PDX,PSP,875
PDX,PSC,174
PDX,PHX,1011
PDX,RDM,116
PDX,SMF,480
PDX,SAN,935
PDX,SFO,551
PDX,SJC,570
PDX,SNA,861
PDX,STS,490
PDX,SEA,129
PDX,GEG,278
PDX,YVR,250
PDX,DCA,2347
PHL,SEA,2375
PHX,PDX,1011
PHX,SEA,1108
PSC,PDX,174
PSC,SEA,172
PSG,JNU,123
PSG,WRG,31
PSP,PDX,875
PSP,SMF,440
PSP,SFO,421
PSP,SJC,291
PSP,SEA,989
PUW,SEA,250
PVR,LAX,1219
PVR,SAN,1110
PVR,SFO,1556
PVR,SEA,2082
RDM,PDX,116
RDM,SEA,228
RNO,SJC,188
RNO,SEA,564
SAN,FAT,314
SAN,HNL,2613
SAN,OGG,2540
SAN,MRY,376
SAN,MCO,2146
SAN,PDX,935
SAN,PVR,1110
SAN,SJD,804
SAN,STS,509
SAN,SEA,1053
SCC,ANC,626
SCC,BRW,203
SEA,ANC,1446
SEA,ATL,2180
SEA,AUS,1771
SEA,BLI,94
SEA,BIL,663
SEA,BOI,398
SEA,BOS,2491
SEA,BZN,541
SEA,BUR,939
SEA,YYC,451
SEA,ORD,1718
SEA,DFW,1660
SEA,DEN,1021
SEA,YEG,558
SEA,EUG,234
SEA,FAI,1532
SEA,FLL,2717
SEA,FAT,750
SEA,GTF,511
SEA,HNL,2679
SEA,IAH,1874
SEA,JNU,909
SEA,OGG,2643
SEA,FCA,378
SEA,MCI,1487
SEA,LIH,2703
SEA,YLW,212
SEA,KTN,676
SEA,KOA,2692
SEA,LAS,868
SEA,LWS,261
SEA,LAX,956
SEA,MFR,352
SEA,MIA,2724
SEA,MSP,1396
SEA,MSO,388
SEA,EWR,2397
SEA,OAK,673
SEA,ONT,958
SEA,MCO,2552
SEA,PSP,989
SEA,PSC,172
SEA,PHL,2375
SEA,PHX,1108
SEA,PDX,129
SEA,PVR,2082
SEA,PUW,250
SEA,RDM,228
SEA,RNO,564
SEA,SMF,606
SEA,STL,1707
SEA,SAT,1775
SEA,SAN,1053
SEA,SFO,680
SEA,SJC,698
SEA,SJD,1818
SEA,SNA,980
SEA,STS,619
SEA,SIT,858
SEA,GEG,223
SEA,SUN,474
SEA,TUS,1217
SEA,YVR,127
SEA,YYJ,98
SEA,ALW,212
SEA,DCA,2325
SEA,EAT,98
SEA,YKM,103
SFO,PSP,421
SFO,PDX,551
SFO,PVR,1556
SFO,SJD,1251
SFO,SEA,680
SIT,JNU,94
SIT,KTN,183
SIT,SEA,858
SJC,BOI,523
SJC,GDL,1614
SJC,HNL,2417
SJC,OGG,2356
SJC,LIH,2467
SJC,KOA,2386
SJC,LAX,308
SJC,PSP,391
SJC,PDX,570
SJC,RNO,188
SJC,SJD,1221
SJC,SEA,698
SJD,LAX,913
SJD,SAN,804
SJD,SFO,1251
SJD,SJC,1221
SJD,SEA,1818
SMF,BOI,438
SMF,GDL,1663
SMF,OGG,2405
SMF,PSP,440
SMF,PDX,480
SMF,SEA,606
SNA,PDX,861
SNA,SEA,980
STL,SEA,1707
STS,LAX,400
STS,PDX,490
STS,SAN,509
STS,SEA,619
SUN,LAX,697
SUN,SEA,474
TUS,SEA,1217
WRG,KTN,84
WRG,PSG,31
YAK,CDV,212
YAK,JNU,198
YEG,SEA,558
YKM,SEA,103
YLW,SEA,212
YVR,LAX,1082
YVR,PDX,250
YVR,SEA,127
YYC,SEA,451
YYJ,SEA,98
ZIH,LAX,1536
ZLO,LAX,1342